position,pantheraCoverage,pantheraIdentity,alpineCoverage,alpineIdentity,nineSeqCoverage,nineSeqIdentity,product,geneFamily,geneLength
1,5,1,0,1,5,1,other,other,
2,5,1,0,1,5,1,other,other,
3,5,1,0,1,5,1,other,other,
4,5,1,0,1,5,1,other,other,
5,5,1,0,1,5,1,other,other,
6,5,1,0,1,5,1,other,other,
7,5,0.67,0,1,5,0.67,other,other,
8,5,1,0,1,5,1,other,other,
9,5,1,0,1,5,1,other,other,
10,5,1,0,1,5,1,other,other,
11,5,1,0,1,5,1,other,other,
12,5,1,0,1,5,1,other,other,
13,5,1,0,1,5,1,other,other,
14,5,1,0,1,5,1,other,other,
15,5,1,0,1,5,1,other,other,
16,5,1,0,1,5,1,other,other,
17,5,1,0,1,5,1,other,other,
18,5,1,0,1,5,1,other,other,
19,5,1,0,1,5,1,other,other,
20,5,1,0,1,5,1,other,other,
21,5,1,0,1,5,1,other,other,
22,5,1,0,1,5,1,other,other,
23,5,1,0,1,5,1,other,other,
24,5,1,0,1,5,1,other,other,
25,5,1,0,1,5,1,other,other,
26,5,1,0,1,5,1,other,other,
27,5,1,0,1,5,1,other,other,
28,5,1,0,1,5,1,other,other,
29,5,1,0,1,5,1,other,other,
30,5,1,0,1,5,1,other,other,
31,5,1,0,1,5,1,other,other,
32,5,1,0,1,5,1,other,other,
33,5,1,0,1,5,1,other,other,
34,5,1,0,1,5,1,other,other,
35,5,1,0,1,5,1,other,other,
36,5,1,0,1,5,1,other,other,
37,5,1,0,1,5,1,other,other,
38,5,1,0,1,5,1,other,other,
39,5,1,0,1,5,1,other,other,
40,5,1,0,1,5,1,other,other,
41,5,1,0,1,5,1,other,other,
42,5,1,0,1,5,1,other,other,
43,5,1,0,1,5,1,other,other,
44,5,1,0,1,5,1,other,other,
45,5,1,0,1,5,1,other,other,
46,5,1,0,1,5,1,other,other,
47,5,1,0,1,5,1,other,other,
48,5,1,0,1,5,1,other,other,
49,5,1,0,1,5,1,other,other,
50,5,1,0,1,5,1,other,other,
51,5,1,0,1,5,1,other,other,
52,5,1,0,1,5,1,other,other,
53,5,1,0,1,5,1,other,other,
54,5,1,0,1,5,1,other,other,
55,5,1,0,1,5,1,other,other,
56,5,1,0,1,5,1,other,other,
57,5,1,0,1,5,1,other,other,
58,5,1,0,1,5,1,other,other,
59,5,0.67,0,1,5,0.67,other,other,
60,5,1,0,1,5,1,other,other,
61,5,1,0,1,5,1,other,other,
62,5,1,0,1,5,1,other,other,
63,5,1,0,1,5,1,other,other,
64,5,1,0,1,5,1,other,other,
65,5,1,0,1,5,1,other,other,
66,5,1,0,1,5,1,other,other,
67,5,1,0,1,5,1,other,other,
68,5,1,0,1,5,1,other,other,
69,5,1,0,1,5,1,other,other,
70,5,0.67,0,1,5,0.67,other,other,
71,5,1,0,1,5,1,other,other,
72,5,1,0,1,5,1,other,other,
73,5,1,0,1,5,1,other,other,
74,5,1,0,1,5,1,other,other,
75,5,1,0,1,5,1,other,other,
76,5,1,0,1,5,1,other,other,
77,5,0.67,0,1,5,0.67,other,other,
78,5,1,0,1,5,1,other,other,
79,5,1,0,1,5,1,other,other,
80,5,0.67,0,1,5,0.67,other,other,
81,5,1,0,1,5,1,other,other,
82,5,1,0,1,5,1,other,other,
83,5,1,0,1,5,1,other,other,
84,5,1,0,1,5,1,other,other,
85,5,1,0,1,5,1,other,other,
86,5,1,0,1,5,1,other,other,
87,5,1,0,1,5,1,other,other,
88,5,1,0,1,5,1,other,other,
89,5,1,0,1,5,1,other,other,
90,5,1,0,1,5,1,other,other,
91,5,1,0,1,5,1,other,other,
92,5,1,0,1,5,1,other,other,
93,5,1,0,1,5,1,other,other,
94,5,1,0,1,5,1,other,other,
95,5,1,0,1,5,1,other,other,
96,5,1,0,1,5,1,other,other,
97,5,1,0,1,5,1,other,other,
98,5,1,0,1,5,1,other,other,
99,5,1,0,1,5,1,other,other,
100,5,1,0,1,5,1,other,other,
101,5,1,0,1,5,1,other,other,
102,5,1,0,1,5,1,other,other,
103,5,1,0,1,5,1,other,other,
104,5,1,0,1,5,1,other,other,
105,5,1,0,1,5,1,other,other,
106,5,1,0,1,5,1,other,other,
107,5,1,0,1,5,1,other,other,
108,5,1,0,1,5,1,other,other,
109,5,1,0,1,5,1,other,other,
110,5,1,0,1,5,1,other,other,
111,5,1,0,1,5,1,other,other,
112,5,1,0,1,5,1,other,other,
113,5,0.47,0,1,5,0.47,other,other,
114,5,1,0,1,5,1,other,other,
115,5,1,0,1,5,1,other,other,
116,5,1,0,1,5,1,other,other,
117,5,1,0,1,5,1,other,other,
118,5,1,0,1,5,1,other,other,
119,5,1,0,1,5,1,other,other,
120,5,1,0,1,5,1,other,other,
121,5,1,0,1,5,1,other,other,
122,5,1,0,1,5,1,other,other,
123,5,1,0,1,5,1,other,other,
124,5,1,0,1,5,1,other,other,
125,5,1,0,1,5,1,other,other,
126,5,1,0,1,5,1,other,other,
127,5,1,0,1,5,1,other,other,
128,5,1,0,1,5,1,other,other,
129,5,1,0,1,5,1,other,other,
130,5,1,0,1,5,1,other,other,
131,5,1,0,1,5,1,other,other,
132,5,1,0,1,5,1,other,other,
133,5,1,0,1,5,1,other,other,
134,5,1,0,1,5,1,other,other,
135,5,1,0,1,5,1,other,other,
136,5,1,0,1,5,1,other,other,
137,5,1,0,1,5,1,other,other,
138,5,1,0,1,5,1,other,other,
139,5,1,0,1,5,1,other,other,
140,5,0.47,0,1,5,0.47,other,other,
141,5,1,0,1,5,1,other,other,
142,5,1,0,1,5,1,other,other,
143,5,1,0,1,5,1,other,other,
144,5,1,0,1,5,1,other,other,
145,5,1,0,1,5,1,other,other,
146,5,1,0,1,5,1,other,other,
147,5,1,0,1,5,1,other,other,
148,5,1,0,1,5,1,other,other,
149,5,1,0,1,5,1,other,other,
150,5,1,0,1,5,1,other,other,
151,5,1,0,1,5,1,other,other,
152,5,1,0,1,5,1,other,other,
153,5,1,0,1,5,1,other,other,
154,5,1,0,1,5,1,other,other,
155,5,1,0,1,5,1,other,other,
156,5,1,0,1,5,1,other,other,
157,5,1,0,1,5,1,other,other,
158,5,1,0,1,5,1,other,other,
159,5,1,0,1,5,1,other,other,
160,5,1,0,1,5,1,other,other,
161,5,1,0,1,5,1,other,other,
162,5,1,0,1,5,1,other,other,
163,5,1,0,1,5,1,other,other,
164,5,1,0,1,5,1,other,other,
165,5,1,0,1,5,1,other,other,
166,5,1,0,1,5,1,other,other,
167,5,1,0,1,5,1,other,other,
168,5,1,0,1,5,1,other,other,
169,5,1,0,1,5,1,other,other,
170,5,1,0,1,5,1,other,other,
171,5,1,0,1,5,1,other,other,
172,5,1,0,1,5,1,other,other,
173,5,1,0,1,5,1,other,other,
174,5,1,0,1,5,1,other,other,
175,5,1,0,1,5,1,other,other,
176,5,1,0,1,5,1,other,other,
177,5,1,0,1,5,1,other,other,
178,5,1,0,1,5,1,other,other,
179,5,1,0,1,5,1,other,other,
180,5,1,0,1,5,1,other,other,
181,5,1,0,1,5,1,other,other,
182,5,1,0,1,5,1,other,other,
183,5,1,0,1,5,1,other,other,
184,5,1,0,1,5,1,other,other,
185,5,1,0,1,5,1,other,other,
186,5,1,0,1,5,1,other,other,
187,5,1,0,1,5,1,other,other,
188,5,1,0,1,5,1,other,other,
189,5,1,0,1,5,1,other,other,
190,5,1,0,1,5,1,other,other,
191,5,1,0,1,5,1,other,other,
192,5,1,0,1,5,1,other,other,
193,5,1,0,1,5,1,other,other,
194,5,1,0,1,5,1,other,other,
195,5,1,0,1,5,1,other,other,
196,5,1,0,1,5,1,other,other,
197,5,1,0,1,5,1,other,other,
198,5,1,0,1,5,1,other,other,
199,5,1,0,1,5,1,other,other,
200,5,1,0,1,5,1,other,other,
201,5,1,0,1,5,1,other,other,
202,5,1,0,1,5,1,other,other,
203,5,1,0,1,5,1,other,other,
204,5,1,0,1,5,1,other,other,
205,5,1,0,1,5,1,other,other,
206,5,1,0,1,5,1,other,other,
207,5,1,0,1,5,1,other,other,
208,5,1,0,1,5,1,other,other,
209,5,0.67,0,1,5,0.67,other,other,
210,5,1,0,1,5,1,other,other,
211,5,1,0,1,5,1,other,other,
212,5,1,0,1,5,1,other,other,
213,5,1,0,1,5,1,other,other,
214,5,1,0,1,5,1,other,other,
215,5,1,0,1,5,1,other,other,
216,5,1,0,1,5,1,other,other,
217,5,1,0,1,5,1,other,other,
218,5,1,0,1,5,1,other,other,
219,5,1,0,1,5,1,other,other,
220,5,1,0,1,5,1,other,other,
221,5,0.4,0,1,5,0.4,other,other,
222,5,1,0,1,5,1,other,other,
223,5,1,0,1,5,1,other,other,
224,5,1,0,1,5,1,other,other,
225,5,1,0,1,5,1,other,other,
226,5,1,0,1,5,1,other,other,
227,5,1,0,1,5,1,other,other,
228,5,1,0,1,5,1,other,other,
229,5,0.4,0,1,5,0.4,other,other,
230,5,1,0,1,5,1,other,other,
231,5,1,0,1,5,1,other,other,
232,5,1,0,1,5,1,other,other,
233,5,1,0,1,5,1,other,other,
234,5,1,0,1,5,1,other,other,
235,5,1,0,1,5,1,other,other,
236,5,1,0,1,5,1,other,other,
237,5,1,0,1,5,1,other,other,
238,5,1,0,1,5,1,other,other,
239,5,1,0,1,5,1,other,other,
240,5,1,0,1,5,1,other,other,
241,5,1,0,1,5,1,other,other,
242,5,1,0,1,5,1,other,other,
243,5,1,0,1,5,1,other,other,
244,5,1,0,1,5,1,other,other,
245,5,0.47,0,1,5,0.47,other,other,
246,5,0.67,0,1,5,0.67,other,other,
247,5,1,0,1,5,1,other,other,
248,5,1,0,1,5,1,other,other,
249,5,1,0,1,5,1,other,other,
250,5,1,0,1,5,1,other,other,
251,5,1,0,1,5,1,other,other,
252,5,1,0,1,5,1,other,other,
253,5,1,0,1,5,1,other,other,
254,5,1,0,1,5,1,other,other,
255,5,1,0,1,5,1,other,other,
256,5,1,0,1,5,1,other,other,
257,5,1,0,1,5,1,other,other,
258,5,1,0,1,5,1,other,other,
259,5,1,0,1,5,1,other,other,
260,5,1,0,1,5,1,other,other,
261,5,1,0,1,5,1,other,other,
262,5,1,0,1,5,1,other,other,
263,5,1,0,1,5,1,other,other,
264,5,1,0,1,5,1,other,other,
265,5,1,0,1,5,1,other,other,
266,5,0.67,0,1,5,0.67,other,other,
267,5,1,0,1,5,1,other,other,
268,5,0.67,0,1,5,0.67,other,other,
269,5,1,0,1,5,1,other,other,
270,5,1,0,1,5,1,other,other,
271,5,1,0,1,5,1,other,other,
272,5,0.67,0,1,5,0.67,other,other,
273,5,1,0,1,5,1,other,other,
274,5,1,0,1,5,1,other,other,
275,5,0.67,0,1,5,0.67,other,other,
276,5,0.67,0,1,5,0.67,other,other,
277,5,0.67,0,1,5,0.67,other,other,
278,5,0.67,0,1,5,0.67,other,other,
279,5,1,0,1,5,1,other,other,
280,5,1,0,1,5,1,other,other,
281,5,1,0,1,5,1,other,other,
282,5,0.47,0,1,5,0.47,other,other,
283,5,1,0,1,5,1,other,other,
284,5,1,0,1,5,1,other,other,
285,5,1,0,1,5,1,other,other,
286,5,1,0,1,5,1,other,other,
287,5,1,0,1,5,1,other,other,
288,5,1,0,1,5,1,other,other,
289,5,1,0,1,5,1,other,other,
290,5,0.67,0,1,5,0.67,other,other,
291,5,1,0,1,5,1,other,other,
292,5,1,0,1,5,1,other,other,
293,5,1,0,1,5,1,other,other,
294,5,1,0,1,5,1,other,other,
295,5,1,0,1,5,1,other,other,
296,5,0.67,0,1,5,0.67,other,other,
297,5,1,0,1,5,1,other,other,
298,5,0.47,0,1,5,0.47,other,other,
299,5,1,0,1,5,1,other,other,
300,5,1,0,1,5,1,other,other,
301,5,0.67,0,1,5,0.67,other,other,
302,5,0.67,0,1,5,0.67,other,other,
303,5,1,0,1,5,1,other,other,
304,5,1,0,1,5,1,other,other,
305,5,1,0,1,5,1,other,other,
306,5,0.47,0,1,5,0.47,other,other,
307,5,1,0,1,5,1,other,other,
308,5,1,0,1,5,1,other,other,
309,5,1,0,1,5,1,other,other,
310,5,1,0,1,5,1,other,other,
311,5,1,0,1,5,1,other,other,
312,5,1,0,1,5,1,other,other,
313,5,1,0,1,5,1,other,other,
314,5,0.67,0,1,5,0.67,other,other,
315,5,0.67,0,1,5,0.67,other,other,
316,5,1,0,1,5,1,other,other,
317,5,1,0,1,5,1,other,other,
318,5,0.67,0,1,5,0.67,other,other,
319,5,0.67,0,1,5,0.67,other,other,
320,5,0.4,0,1,5,0.4,other,other,
321,5,1,0,1,5,1,other,other,
322,5,1,0,1,5,1,other,other,
323,5,0.67,0,1,5,0.67,other,other,
